"img","use_num","color","Usage","Material ","type","cost"
"https://simage.mujikorea.net/goods/31/12/64/89/4550182011425_N_N_400.jpg","4","하양","거실형","깃털","소파","1,075,000"
"https://gdimg.gmarket.co.kr/2142174018/still/600?ver=1695278919","4","나무","식탁형","고무나무","식탁","289,000"
